locusName	Pfam	Panther	ec	KO	GO	arabi-defline
Phvul.010G137700	PF01975	PTHR30457,PTHR30457:SF5	3.1.3.5	K03787	GO:0016787	Survival protein SurE-like phosphatase/nucleotidase
Phvul.010G137700	PF01975	PTHR30457,PTHR30457:SF5	3.1.3.5		GO:0016787	Survival protein SurE-like phosphatase/nucleotidase
Phvul.010G068700	PF00223	PTHR30128,PTHR30128:SF8	1.97.1.12	K02689	GO:0016021,GO:0015979,GO:0009579,GO:0009522	Photosystem I, PsaA/PsaB protein
Phvul.010G069165		PTHR23177,PTHR23177:SF8				ROP-interactive CRIB motif-containing protein 3
Phvul.010G076001						Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3
Phvul.010G076001						Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3
Phvul.010G054400	PF00931,PF13676	PTHR11017,PTHR11017:SF155			GO:0043531,GO:0007165,GO:0005515	Disease resistance protein (TIR-NBS-LRR class) family
Phvul.010G101300	PF02892	PTHR32166,PTHR32166:SF33			GO:0003677	hAT dimerisation domain-containing protein
Phvul.010G074500	PF00069	PTHR27001,PTHR27001:SF149	2.7.11.1,2.7.10.2		GO:0006468,GO:0005524,GO:0004672	protein kinase 1B
Phvul.010G119400	PF00637,PF12816	PTHR12616,PTHR12616:SF6			GO:0016192,GO:0006886	transducin family protein / WD-40 repeat family protein
Phvul.010G160200	PF00230	PTHR19139,PTHR19139:SF170		K09874	GO:0016020,GO:0006810,GO:0005215	NOD26-like intrinsic protein 6;1
Phvul.010G160200	PF00230	PTHR19139,PTHR19139:SF170			GO:0016020,GO:0006810,GO:0005215	NOD26-like intrinsic protein 6;1
Phvul.010G160200	PF00230	PTHR19139,PTHR19139:SF170			GO:0016020,GO:0006810,GO:0005215	NOD26-like intrinsic protein 6;1
Phvul.010G088600	PF08263,PF00560,PF13855	PTHR27004,PTHR27004:SF37			GO:0005515	receptor like protein 7
Phvul.010G024301	PF01582,PF00931	PTHR11017,PTHR11017:SF163			GO:0007165,GO:0005515,GO:0043531	Disease resistance protein (TIR-NBS-LRR class) family
Phvul.010G142800	PF02485	PTHR31042,PTHR31042:SF24			GO:0016020,GO:0008375	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Phvul.010G016600	PF00248	PTHR11732,PTHR11732:SF223				NAD(P)-linked oxidoreductase superfamily protein
Phvul.010G016600	PF00248	PTHR11732,PTHR11732:SF223				NAD(P)-linked oxidoreductase superfamily protein
Phvul.010G064000	PF10539	PTHR10857,PTHR10857:SF31				
Phvul.010G164600	PF02519	PTHR31374,PTHR31374:SF6		K14488	GO:0009733	SAUR-like auxin-responsive protein family 
Phvul.010G017000	PF00248	PTHR11732,PTHR11732:SF223				NAD(P)-linked oxidoreductase superfamily protein
Phvul.010G080300	PF04043,PF01095	PTHR31707,PTHR31707:SF35	3.1.1.11	K01051	GO:0004857,GO:0042545,GO:0030599,GO:0005618	Plant invertase/pectin methylesterase inhibitor superfamily
Phvul.010G048800	PF00067	PTHR24296,PTHR24296:SF19	1.14.13.109		GO:0055114,GO:0020037,GO:0016705,GO:0005506	cytochrome P450, family 704, subfamily A, polypeptide 2
Phvul.010G100100	PF04851,PF08880,PF00271	PTHR10799,PTHR10799:SF577	3.6.4.12	K11647	GO:0016787,GO:0005524,GO:0003677,GO:0006355,GO:0005634	transcription regulatory protein SNF2, putative
Phvul.010G127500	PF08263,PF00560,PF13855,PF07714	PTHR27008,PTHR27008:SF16	2.7.11.1		GO:0005515,GO:0006468,GO:0004672	Leucine-rich repeat protein kinase family protein
Phvul.010G015600	PF09783	PTHR14534,PTHR14534:SF4				
Phvul.010G015600	PF09783	PTHR14534,PTHR14534:SF4				
Phvul.010G048500	PF06747	PTHR13344,PTHR13344:SF0		K03952		Cox19-like CHCH family protein
Phvul.010G149400	PF00787,PF08628,PF02194	PTHR22999,PTHR22999:SF19		K17925	GO:0035091	Phox-associated domain;Phox-like;Sorting nexin, C-terminal
Phvul.010G149400	PF00787,PF08628,PF02194	PTHR22999,PTHR22999:SF19		K17925	GO:0035091	Phox-associated domain;Phox-like;Sorting nexin, C-terminal
Phvul.010G042300	PF00201	PTHR11926,PTHR11926:SF381	2.4.1.218	K08237	GO:0016758,GO:0008152	UDP-Glycosyltransferase superfamily protein
Phvul.010G159900	PF02330	PTHR10826,PTHR10826:SF14		K15414	GO:0005759	Mitochondrial glycoprotein family protein
Phvul.010G022100	PF00810	PTHR10585,PTHR10585:SF36		K10949	GO:0046923,GO:0016021,GO:0006621	ER lumen protein retaining receptor family protein
Phvul.010G011000	PF00067	PTHR24298,PTHR24298:SF86			GO:0055114,GO:0020037,GO:0016705,GO:0005506	cytochrome P450, family 83, subfamily B, polypeptide 1
Phvul.010G052600	PF13639	PTHR22937,PTHR22937:SF48		K19041	GO:0008270,GO:0005515	RING/U-box superfamily protein
Phvul.010G156200	PF00487	PTHR11351,PTHR11351:SF2		K00507	GO:0006629	fatty acid desaturase 5
Phvul.010G092500	PF13639	PTHR14155,PTHR14155:SF160			GO:0008270,GO:0005515	RING/U-box superfamily protein
Phvul.010G084200	PF00270,PF00271,PF07717,PF04408	PTHR18934,PTHR18934:SF99	3.6.4.13	K14780	GO:0005524,GO:0003676,GO:0004386	RNA helicase family protein
Phvul.010G133900	PF13962	PTHR24177,PTHR24177:SF17				
Phvul.010G133900	PF13962	PTHR24177,PTHR24177:SF17				
Phvul.010G099600	PF03931,PF01466	PTHR11165,PTHR11165:SF61			GO:0006511	SKP1-like 21
Phvul.010G009400	PF07690	PTHR11654,PTHR11654:SF79		K14638	GO:0055085,GO:0016021,GO:0016020,GO:0006810,GO:0005215	Major facilitator superfamily protein
Phvul.010G009400	PF07690	PTHR11654,PTHR11654:SF79			GO:0055085,GO:0016021,GO:0016020,GO:0006810,GO:0005215	Major facilitator superfamily protein
Phvul.010G115000	PF12234	PTHR13950,PTHR13950:SF9				transducin family protein / WD-40 repeat family protein
Phvul.010G115000	PF00400,PF12234	PTHR13950,PTHR13950:SF9			GO:0005515	transducin family protein / WD-40 repeat family protein
Phvul.010G053400	PF07690	PTHR23500,PTHR23500:SF144			GO:0055085,GO:0016021	sugar transporter 1
Phvul.010G003200	PF17067	PTHR34550,PTHR34550:SF1		K19033		plastid-specific ribosomal protein 4
Phvul.010G003200	PF17067	PTHR34550,PTHR34550:SF1		K19033		plastid-specific ribosomal protein 4
Phvul.010G148300	PF13193,PF00501	PTHR24095,PTHR24095:SF52	6.2.1.3	K18660	GO:0008152,GO:0003824	AMP-dependent synthetase and ligase family protein
Phvul.010G027601						
Phvul.010G065900		PTHR31451,PTHR31451:SF18	3.2.1.78	K19355		Glycosyl hydrolase superfamily protein
Phvul.010G123800	PF03242	PTHR33509,PTHR33509:SF2			GO:0006950	
Phvul.010G123800	PF03242	PTHR33509,PTHR33509:SF2			GO:0006950	
Phvul.010G042600	PF00201	PTHR11926,PTHR11926:SF381	2.4.1.218	K08237	GO:0016758,GO:0008152	UDP-Glycosyltransferase superfamily protein
Phvul.010G076720		PTHR10694,PTHR10694:SF53				Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
Phvul.010G097600	PF08293	PTHR13362,PTHR13362:SF2		K17411		
Phvul.010G011300	PF13460	PTHR14194,PTHR14194:SF78				NAD(P)-binding Rossmann-fold superfamily protein
Phvul.010G011300	PF13460	PTHR14194,PTHR14194:SF78				NAD(P)-binding Rossmann-fold superfamily protein
Phvul.010G061300		PTHR22835,PTHR22835:SF184	3.1.1.3			GDSL-like Lipase/Acylhydrolase superfamily protein
Phvul.010G147300						
Phvul.010G022300	PF07712	PTHR33390,PTHR33390:SF1				
Phvul.010G134200	PF07714	PTHR27003,PTHR27003:SF118	2.7.11.1		GO:0006468,GO:0004672	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Phvul.010G039800	PF06219	PTHR31317,PTHR31317:SF4				Protein of unknown function (DUF1005)
Phvul.010G165400	PF04146	PTHR12357,PTHR12357:SF29				evolutionarily conserved C-terminal region 5
Phvul.010G165400	PF04146	PTHR12357,PTHR12357:SF29				evolutionarily conserved C-terminal region 5
Phvul.010G165400	PF04146	PTHR12357,PTHR12357:SF29				evolutionarily conserved C-terminal region 5
Phvul.010G165400	PF04146	PTHR12357,PTHR12357:SF29				evolutionarily conserved C-terminal region 5
Phvul.010G165400	PF04146	PTHR12357,PTHR12357:SF29				evolutionarily conserved C-terminal region 5
Phvul.010G165400	PF04146	PTHR12357,PTHR12357:SF29				evolutionarily conserved C-terminal region 5
Phvul.010G065600	PF00210	PTHR11431,PTHR11431:SF44	1.16.3.1	K00522	GO:0008199,GO:0006879,GO:0006826	ferretin 1
Phvul.010G108700	PF00657	PTHR22835,PTHR22835:SF200	3.2.1.51		GO:0016788	GDSL-like Lipase/Acylhydrolase superfamily protein
Phvul.010G031900	PF01453,PF07714	PTHR27002,PTHR27002:SF34	2.7.11.1		GO:0006468,GO:0004672	receptor-like protein kinase 1
Phvul.010G129600	PF00190	PTHR31238,PTHR31238:SF2			GO:0045735	germin 3
Phvul.010G111900	PF03106	PTHR32096,PTHR32096:SF20			GO:0043565,GO:0006355,GO:0003700	WRKY family transcription factor
Phvul.010G085500	PF00701	PTHR12128,PTHR12128:SF15	4.3.3.7	K01714	GO:0016829,GO:0008152	dihydrodipicolinate synthase
Phvul.010G096700		PTHR33191				
Phvul.010G155900	PF02298	PTHR33021,PTHR33021:SF5			GO:0009055	blue-copper-binding protein
Phvul.010G079000	PF00234	PTHR33076,PTHR33076:SF14				lipid transfer protein 3
Phvul.010G079000	PF00234	PTHR33076,PTHR33076:SF14				lipid transfer protein 3
Phvul.010G011400	PF00450	PTHR11802,PTHR11802:SF29			GO:0006508,GO:0004185	serine carboxypeptidase-like 19
Phvul.010G109000		PTHR36377,PTHR36377:SF1				
Phvul.010G109000		PTHR36377,PTHR36377:SF1				
Phvul.010G037000	PF00201	PTHR11926,PTHR11926:SF227	2.4.1.273		GO:0016758,GO:0008152	UDP-Glycosyltransferase superfamily protein
Phvul.010G032600	PF03101	PTHR31669,PTHR31669:SF44			GO:0006355	Far-red impaired responsive (FAR1) family protein
Phvul.010G150100		PTHR37900,PTHR37900:SF1				
Phvul.010G010050	PF00773	PTHR23355,PTHR23355:SF5	3.1.13.1			Ribonuclease II/R family protein
Phvul.010G010050	PF00773	PTHR23355,PTHR23355:SF5	3.1.13.1			Ribonuclease II/R family protein
Phvul.010G010050	PF00773	PTHR23355,PTHR23355:SF5	3.1.13.1			Ribonuclease II/R family protein
Phvul.010G010050	PF00773	PTHR23355,PTHR23355:SF5	3.1.13.1			Ribonuclease II/R family protein
Phvul.010G022600	PF00067	PTHR24298,PTHR24298:SF74		K17961	GO:0055114,GO:0020037,GO:0016705,GO:0005506	cytochrome P450, family 82, subfamily C, polypeptide 4
Phvul.010G110500	PF01566	PTHR11706,PTHR11706:SF46		K12347	GO:0016020,GO:0006810,GO:0005215	NRAMP metal ion transporter 2
Phvul.010G007800	PF00153	PTHR24089,PTHR24089:SF268		K15103		plant uncoupling mitochondrial protein 1
Phvul.010G032900	PF13460	PTHR10366,PTHR10366:SF384				NAD(P)-binding Rossmann-fold superfamily protein
Phvul.010G068600						
Phvul.010G056100						
Phvul.010G049900	PF02893,PF16016	PTHR23319,PTHR23319:SF4				GRAM domain family protein
Phvul.010G049900	PF02893,PF16016	PTHR23319,PTHR23319:SF4				GRAM domain family protein
Phvul.010G049900	PF02893,PF16016	PTHR23319,PTHR23319:SF4				GRAM domain family protein
Phvul.010G049900	PF02893,PF16016	PTHR23319,PTHR23319:SF4				GRAM domain family protein
Phvul.010G071766	PF03828,PF01909	PTHR23092,PTHR23092:SF1	2.7.7.19		GO:0016779	Nucleotidyltransferase family protein
Phvul.010G144100		PTHR36382	3.6.4.12			
Phvul.010G038300	PF12070	PTHR21243			GO:0006351,GO:0003714	Protein of unknown function (DUF3550/UPF0682)
Phvul.010G091000	PF14299	PTHR31960,PTHR31960:SF3				phloem protein 2-A13
Phvul.010G039400						
Phvul.010G110300	PF03188,PF03351	PTHR23130,PTHR23130:SF78			GO:0016021	Cytochrome b561/ferric reductase transmembrane with DOMON related domain
